id| productID| name| brand | company|Link|PETA (Cruelty Free)|Fair Trade (Worker Rights)|HRC (Gender Equality)| avgscore
28|2|Burt's Bees Toothpaste, Natural Flavor, Fluoride Free Purely White, Zen Peppermint, 4.7oz 3 Count|Burt's Bees|Clorox|https://smile.amazon.com/Burts-Bees-Toothpaste-Fluoride-Peppermint/dp/B07KJ3YD2Q/ref=sr_1_32?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-32|100|100|80|0
29|2|Aquafresh Cavity Protection Fluoride Toothpaste, Cool Mint, 5.6 ounce|Aquafresh|GlaxoSmithKline|https://smile.amazon.com/Aquafresh-Cavity-Protection-Fluoride-Toothpaste/dp/B00KS6X5OO/ref=sr_1_33?dchild=1&keywords=toothpaste&qid=1588554309&sr=8-33|0|0|90|0
30|2|Hello Oral Care Fluoride Free Antiplaque & Whitening Toothpaste, Vegan & SLS Freee, Natural Peppermint with Tea Tree Oil & Coconut Oil- 4 Count|Hello Products|Craig Dubitsky|https://smile.amazon.com/Hello-Oral-Care-Antiplaque-Toothpaste/dp/B07HJWFL7C/ref=sr_1_38?dchild=1&keywords=toothpaste&qid=1588555780&sr=8-38|100|100|100|0
31|3|Colavita Pasta, Thin Linguine, 16 Ounce (Pack of 20)|Colavita|Colavita USA L.L.C.|https://smile.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06711361MIM3FSDE2EP2&url=%2FColavita-Pasta-Thin-Linguine-Ounce%2Fdp%2FB00E9DQVSO%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dpasta%26qid%3D1588555874%26sr%3D8-1-spons%26psc%3D1&qualifier=1588555874&id=8135764362184846&widgetName=sp_atf|0|0|10|0
32|3|Barilla Ready Pasta, Rotini Pasta, 8.5 Ounces (Pack of 6) |Barilla|Barilla Holding|https://smile.amazon.com/Barilla-Ready-Pasta-Rotini-Ounces/dp/B01MUGPLP2/ref=sr_1_5?dchild=1&keywords=pasta&qid=1588555874&sr=8-5|0|0|20|0
33|3|Al Dente Carba-Nada Egg Fettuccine,10-Ounce Bags (Pack of 6)|Carba-Nada|Al Dente, Inc.|https://smile.amazon.com/Al-Dente-Carba-Nada-Fettuccine-10-Ounce/dp/B000FZRYPO/ref=sr_1_6?dchild=1&keywords=pasta&qid=1588555874&sr=8-6|0|0|30|0
34|3|De Cecco Semolina Pasta Linguine Fini No.8 1 Pound (Pack of 5) |De Cecco|the De Cecco brothers|https://smile.amazon.com/Cecco-Semolina-Pasta-Linguine-Pound/dp/B001EPPB3G/ref=sr_1_7?dchild=1&keywords=pasta&qid=1588555874&sr=8-7|0|0|40|0
35|3|Dal Raccolto Cavatelli Pasta, 1 lb (Pack of 4),64 oz|Dal Raccolto|Colavita USA L.L.C.|https://smile.amazon.com/Dal-Raccolto-Cavatelli-Pasta-Pound/dp/B07GJZFVCV/ref=sr_1_12?dchild=1&keywords=pasta&qid=1588555874&sr=8-12|0|0|50|0
36|3|Veggiecraft Farms Cauliflower Pasta Combo Pack 6 Pack|Veggiecraft Farms|Veggiecraft Farms|https://smile.amazon.com/Veggiecraft-Cauliflower-Protein-Gluten-Free-Potassium/dp/B07YVNHRH2/ref=sr_1_17?dchild=1&keywords=pasta&qid=1588555874&sr=8-17|100|0|60|0
37|3|Garofalo Variety Pack 100% Organic 6 Pack - 1.1 Lb Each|Garofalo|Ebro Foods|https://smile.amazon.com/Garofalo-Variety-Pack-100-Organic/dp/B00HRN64TY/ref=sr_1_20?dchild=1&keywords=pasta&qid=1588555874&sr=8-20|100|0|70|0
